Y_L(cm),	E(MeV),	YTheta_L(deg),	 A,	 dA,	 peL,	 dpeL,	 peR,	 dpeR
-4.00,	50.00,	7.50,	0.6347,	0.0019,	12.36,	0.02,	3.13,	0.02
-4.00,	50.00,	10.00,	0.7816,	0.0015,	12.93,	0.02,	1.81,	0.02
-4.00,	50.00,	15.00,	0.8902,	0.0010,	13.53,	0.02,	0.92,	0.01
-4.00,	50.00,	20.00,	0.8993,	0.0010,	12.78,	0.03,	0.81,	0.01
-4.00,	50.00,	25.00,	0.8843,	0.0010,	11.27,	0.03,	0.80,	0.01
-4.00,	50.00,	30.00,	0.8644,	0.0011,	9.56,	0.03,	0.80,	0.01
-4.00,	50.00,	35.00,	0.8597,	0.0012,	9.47,	0.03,	0.82,	0.01
-4.00,	50.00,	40.00,	0.8533,	0.0011,	10.37,	0.03,	0.93,	0.01
-4.00,	50.00,	60.00,	0.8927,	0.0007,	26.07,	0.10,	1.51,	0.02
-4.00,	50.00,	80.00,	0.8995,	0.0005,	112.76,	0.33,	6.06,	0.03
-4.00,	100.00,	-80.00,	-0.9084,	0.0003,	9.09,	0.04,	179.29,	0.54
-4.00,	100.00,	-60.00,	-0.8917,	0.0006,	1.40,	0.01,	23.85,	0.07
-4.00,	100.00,	-40.00,	-0.8644,	0.0010,	0.86,	0.01,	10.80,	0.03
-4.00,	100.00,	-35.00,	-0.8688,	0.0011,	0.77,	0.01,	9.68,	0.03
-4.00,	100.00,	-30.00,	-0.8647,	0.0011,	0.80,	0.01,	9.72,	0.02
-4.00,	100.00,	-25.00,	-0.8939,	0.0009,	0.74,	0.01,	11.73,	0.02
-4.00,	100.00,	-20.00,	-0.9164,	0.0008,	0.68,	0.01,	13.51,	0.03
-4.00,	100.00,	-15.00,	-0.9178,	0.0008,	0.73,	0.01,	14.58,	0.03
-4.00,	100.00,	-10.00,	-0.8629,	0.0010,	1.15,	0.01,	13.83,	0.02
-4.00,	100.00,	-7.50,	-0.7563,	0.0014,	2.02,	0.01,	13.18,	0.02
-4.00,	100.00,	-5.00,	-0.4426,	0.0017,	5.17,	0.02,	12.57,	0.02
-4.00,	100.00,	-2.50,	-0.1603,	0.0015,	8.94,	0.02,	12.18,	0.02
-4.00,	100.00,	0.00,	-0.0263,	0.0014,	10.86,	0.02,	11.43,	0.02
-4.00,	100.00,	2.50,	0.1097,	0.0015,	11.66,	0.02,	9.51,	0.02
-4.00,	100.00,	5.00,	0.4013,	0.0017,	12.03,	0.02,	5.49,	0.02
-4.00,	100.00,	7.50,	0.7271,	0.0015,	12.34,	0.02,	2.17,	0.01
-4.00,	100.00,	10.00,	0.8487,	0.0011,	13.12,	0.02,	1.21,	0.01
-4.00,	100.00,	15.00,	0.9122,	0.0009,	13.86,	0.02,	0.76,	0.01
-4.00,	100.00,	20.00,	0.9116,	0.0009,	12.87,	0.02,	0.70,	0.01
-4.00,	100.00,	25.00,	0.8902,	0.0010,	11.24,	0.02,	0.75,	0.01
-4.00,	100.00,	30.00,	0.8602,	0.0011,	9.30,	0.02,	0.80,	0.01
-4.00,	100.00,	35.00,	0.8590,	0.0012,	9.14,	0.02,	0.79,	0.01
-4.00,	100.00,	40.00,	0.8567,	0.0011,	10.20,	0.03,	0.86,	0.01
-4.00,	100.00,	60.00,	0.8939,	0.0007,	22.68,	0.06,	1.32,	0.01
-4.00,	100.00,	80.00,	0.9058,	0.0003,	170.03,	0.51,	8.85,	0.04
-2.00,	5.00,	-80.00,	-0.7000,	0.0030,	1.04,	0.01,	6.20,	0.03
-2.00,	5.00,	-60.00,	-0.6767,	0.0023,	1.47,	0.01,	7.79,	0.02
-2.00,	5.00,	-40.00,	-0.5489,	0.0027,	2.08,	0.01,	7.20,	0.02
-2.00,	5.00,	-35.00,	-0.5118,	0.0027,	2.28,	0.01,	7.07,	0.02
-2.00,	5.00,	-30.00,	-0.4748,	0.0028,	2.49,	0.01,	6.98,	0.02
-2.00,	5.00,	-25.00,	-0.4307,	0.0029,	2.78,	0.02,	6.88,	0.02
-2.00,	5.00,	-20.00,	-0.3756,	0.0030,	3.09,	0.02,	6.71,	0.02
-2.00,	5.00,	-15.00,	-0.3049,	0.0031,	3.54,	0.02,	6.52,	0.02
-2.00,	5.00,	-10.00,	-0.2230,	0.0031,	3.99,	0.02,	6.22,	0.02
-2.00,	5.00,	-7.50,	-0.1738,	0.0032,	4.28,	0.02,	6.01,	0.02
-2.00,	5.00,	-5.00,	-0.1155,	0.0032,	4.59,	0.02,	5.76,	0.02
-2.00,	5.00,	-2.50,	-0.0656,	0.0033,	4.83,	0.02,	5.50,	0.02
-2.00,	5.00,	0.00,	-0.0100,	0.0033,	5.10,	0.02,	5.25,	0.02
-2.00,	5.00,	2.50,	0.0488,	0.0033,	5.38,	0.02,	4.94,	0.02
-2.00,	5.00,	5.00,	0.1004,	0.0032,	5.64,	0.02,	4.68,	0.02
-2.00,	5.00,	7.50,	0.1523,	0.0032,	5.86,	0.02,	4.39,	0.02
-2.00,	5.00,	10.00,	0.2055,	0.0032,	6.06,	0.02,	4.10,	0.02
-2.00,	5.00,	15.00,	0.2938,	0.0031,	6.36,	0.02,	3.58,	0.02
-2.00,	5.00,	20.00,	0.3581,	0.0030,	6.55,	0.02,	3.21,	0.02
-2.00,	5.00,	25.00,	0.4126,	0.0029,	6.71,	0.02,	2.86,	0.02
-2.00,	5.00,	30.00,	0.4614,	0.0028,	6.82,	0.02,	2.56,	0.02
-2.00,	5.00,	35.00,	0.4981,	0.0028,	6.87,	0.02,	2.33,	0.01
-2.00,	5.00,	40.00,	0.5326,	0.0027,	6.98,	0.02,	2.14,	0.01
-2.00,	5.00,	60.00,	0.6664,	0.0024,	7.58,	0.02,	1.49,	0.01
-2.00,	5.00,	80.00,	0.6959,	0.0030,	6.07,	0.03,	1.05,	0.01
-2.00,	10.00,	-80.00,	-0.7949,	0.0017,	1.93,	0.01,	18.39,	0.06
-2.00,	10.00,	-60.00,	-0.7589,	0.0015,	2.47,	0.02,	19.10,	0.05
-2.00,	10.00,	-40.00,	-0.6952,	0.0019,	2.58,	0.02,	14.51,	0.04
-2.00,	10.00,	-35.00,	-0.6776,	0.0020,	2.65,	0.02,	13.79,	0.04
-2.00,	10.00,	-30.00,	-0.6502,	0.0021,	2.86,	0.02,	13.30,	0.03
-2.00,	10.00,	-25.00,	-0.6103,	0.0022,	3.21,	0.02,	12.86,	0.03
-2.00,	10.00,	-20.00,	-0.5612,	0.0024,	3.65,	0.02,	12.48,	0.03
-2.00,	10.00,	-15.00,	-0.4819,	0.0026,	4.34,	0.02,	11.94,	0.03
-2.00,	10.00,	-10.00,	-0.3598,	0.0028,	5.39,	0.03,	11.17,	0.03
-2.00,	10.00,	-7.50,	-0.2802,	0.0029,	6.06,	0.03,	10.52,	0.03
-2.00,	10.00,	-5.00,	-0.1951,	0.0030,	6.86,	0.03,	10.02,	0.03
-2.00,	10.00,	-2.50,	-0.1056,	0.0030,	7.63,	0.03,	9.36,	0.03
-2.00,	10.00,	0.00,	-0.0124,	0.0030,	8.37,	0.03,	8.63,	0.03
-2.00,	10.00,	2.50,	0.0913,	0.0030,	9.18,	0.03,	7.79,	0.03
-2.00,	10.00,	5.00,	0.1834,	0.0030,	9.79,	0.03,	6.97,	0.03
-2.00,	10.00,	7.50,	0.2633,	0.0029,	10.32,	0.03,	6.25,	0.03
-2.00,	10.00,	10.00,	0.3474,	0.0029,	10.85,	0.03,	5.49,	0.03
-2.00,	10.00,	15.00,	0.4678,	0.0026,	11.62,	0.03,	4.43,	0.03
-2.00,	10.00,	20.00,	0.5459,	0.0025,	12.08,	0.03,	3.72,	0.02
-2.00,	10.00,	25.00,	0.6028,	0.0023,	12.51,	0.03,	3.22,	0.02
-2.00,	10.00,	30.00,	0.6388,	0.0022,	12.91,	0.03,	2.94,	0.02
-2.00,	10.00,	35.00,	0.6681,	0.0020,	13.46,	0.04,	2.71,	0.02
-2.00,	10.00,	40.00,	0.6841,	0.0019,	14.10,	0.04,	2.64,	0.02
-2.00,	10.00,	60.00,	0.7548,	0.0015,	18.65,	0.04,	2.48,	0.02
-2.00,	10.00,	80.00,	0.7916,	0.0017,	17.90,	0.06,	1.93,	0.01
-2.00,	50.00,	-80.00,	-0.9029,	0.0004,	6.19,	0.03,	118.53,	0.29
-2.00,	50.00,	-60.00,	-0.8952,	0.0007,	1.52,	0.01,	27.02,	0.10
-2.00,	50.00,	-40.00,	-0.8573,	0.0011,	0.92,	0.01,	10.74,	0.03
-2.00,	50.00,	-35.00,	-0.8656,	0.0011,	0.82,	0.01,	9.87,	0.03
-2.00,	50.00,	-30.00,	-0.8664,	0.0011,	0.82,	0.01,	9.92,	0.03
-2.00,	50.00,	-25.00,	-0.8898,	0.0010,	0.78,	0.01,	11.68,	0.03
-2.00,	50.00,	-20.00,	-0.9056,	0.0009,	0.76,	0.01,	13.15,	0.03
-2.00,	50.00,	-15.00,	-0.8941,	0.0010,	0.91,	0.01,	13.99,	0.03
-2.00,	50.00,	-10.00,	-0.7964,	0.0014,	1.73,	0.02,	13.38,	0.02
-2.00,	50.00,	-7.50,	-0.6569,	0.0018,	2.99,	0.02,	12.91,	0.02
-2.00,	50.00,	-5.00,	-0.4158,	0.0020,	5.52,	0.02,	12.31,	0.02
-2.00,	50.00,	-2.50,	-0.1818,	0.0018,	8.40,	0.02,	11.70,	0.02
-2.00,	50.00,	0.00,	-0.0147,	0.0017,	10.29,	0.02,	10.61,	0.02
-2.00,	50.00,	2.50,	0.1607,	0.0018,	11.42,	0.02,	8.57,	0.02
-2.00,	50.00,	5.00,	0.3933,	0.0020,	12.00,	0.02,	5.71,	0.02
-2.00,	50.00,	7.50,	0.6400,	0.0018,	12.55,	0.02,	3.11,	0.02
-2.00,	50.00,	10.00,	0.7869,	0.0015,	13.08,	0.02,	1.78,	0.01
-2.00,	50.00,	15.00,	0.8914,	0.0010,	13.70,	0.03,	0.92,	0.01
-2.00,	50.00,	20.00,	0.9042,	0.0010,	12.89,	0.03,	0.76,	0.01
-2.00,	50.00,	25.00,	0.8840,	0.0010,	11.40,	0.03,	0.80,	0.01
-2.00,	50.00,	30.00,	0.8630,	0.0012,	9.69,	0.03,	0.82,	0.01
-2.00,	50.00,	35.00,	0.8621,	0.0011,	9.57,	0.03,	0.81,	0.01
-2.00,	50.00,	40.00,	0.8556,	0.0011,	10.48,	0.03,	0.91,	0.01
-2.00,	50.00,	60.00,	0.8952,	0.0007,	26.42,	0.10,	1.49,	0.01
-2.00,	50.00,	80.00,	0.9011,	0.0004,	115.27,	0.29,	6.11,	0.03
-2.00,	100.00,	-80.00,	-0.9077,	0.0003,	9.01,	0.04,	176.87,	0.53
-2.00,	100.00,	-60.00,	-0.8922,	0.0007,	1.39,	0.01,	23.52,	0.06
-2.00,	100.00,	-40.00,	-0.8629,	0.0010,	0.86,	0.01,	10.71,	0.03
-2.00,	100.00,	-35.00,	-0.8649,	0.0011,	0.78,	0.01,	9.55,	0.03
-2.00,	100.00,	-30.00,	-0.8637,	0.0011,	0.80,	0.01,	9.66,	0.02
-2.00,	100.00,	-25.00,	-0.8944,	0.0010,	0.74,	0.01,	11.62,	0.02
-2.00,	100.00,	-20.00,	-0.9132,	0.0009,	0.70,	0.01,	13.28,	0.03
-2.00,	100.00,	-15.00,	-0.9163,	0.0009,	0.73,	0.01,	14.33,	0.03
-2.00,	100.00,	-10.00,	-0.8583,	0.0011,	1.18,	0.01,	13.64,	0.02
-2.00,	100.00,	-7.50,	-0.7495,	0.0014,	2.05,	0.01,	12.97,	0.02
-2.00,	100.00,	-5.00,	-0.4318,	0.0017,	5.26,	0.02,	12.42,	0.02
-2.00,	100.00,	-2.50,	-0.1432,	0.0015,	9.15,	0.02,	12.03,	0.02
-2.00,	100.00,	0.00,	-0.0120,	0.0014,	11.05,	0.02,	11.33,	0.02
-2.00,	100.00,	2.50,	0.1218,	0.0015,	11.78,	0.02,	9.38,	0.02
-2.00,	100.00,	5.00,	0.4064,	0.0017,	12.08,	0.02,	5.45,	0.02
-2.00,	100.00,	7.50,	0.7351,	0.0015,	12.55,	0.02,	2.13,	0.01
-2.00,	100.00,	10.00,	0.8534,	0.0011,	13.30,	0.02,	1.20,	0.01
-2.00,	100.00,	15.00,	0.9129,	0.0009,	14.03,	0.03,	0.76,	0.01
-2.00,	100.00,	20.00,	0.9132,	0.0009,	13.00,	0.03,	0.69,	0.01
-2.00,	100.00,	25.00,	0.8917,	0.0010,	11.36,	0.03,	0.74,	0.01
-2.00,	100.00,	30.00,	0.8595,	0.0012,	9.43,	0.02,	0.82,	0.01
-2.00,	100.00,	35.00,	0.8640,	0.0011,	9.26,	0.02,	0.76,	0.01
-2.00,	100.00,	40.00,	0.8586,	0.0011,	10.35,	0.03,	0.87,	0.01
-2.00,	100.00,	60.00,	0.8948,	0.0007,	23.01,	0.06,	1.32,	0.01
-2.00,	100.00,	80.00,	0.9061,	0.0003,	172.23,	0.51,	8.96,	0.04
0.00,	5.00,	-80.00,	-0.7005,	0.0030,	1.03,	0.01,	6.14,	0.03
0.00,	5.00,	-60.00,	-0.6739,	0.0023,	1.48,	0.01,	7.74,	0.02
0.00,	5.00,	-40.00,	-0.5473,	0.0027,	2.07,	0.01,	7.12,	0.02
0.00,	5.00,	-35.00,	-0.5072,	0.0028,	2.29,	0.01,	6.98,	0.02
0.00,	5.00,	-30.00,	-0.4653,	0.0028,	2.55,	0.02,	6.90,	0.02
0.00,	5.00,	-25.00,	-0.4230,	0.0029,	2.79,	0.02,	6.76,	0.02
0.00,	5.00,	-20.00,	-0.3755,	0.0030,	3.10,	0.02,	6.67,	0.02
0.00,	5.00,	-15.00,	-0.3034,	0.0031,	3.55,	0.02,	6.47,	0.02
0.00,	5.00,	-10.00,	-0.2170,	0.0031,	4.06,	0.02,	6.16,	0.02
0.00,	5.00,	-7.50,	-0.1697,	0.0032,	4.31,	0.02,	5.98,	0.02
0.00,	5.00,	-5.00,	-0.1118,	0.0032,	4.64,	0.02,	5.73,	0.02
0.00,	5.00,	-2.50,	-0.0553,	0.0032,	4.90,	0.02,	5.43,	0.02
0.00,	5.00,	0.00,	0.0010,	0.0032,	5.21,	0.02,	5.20,	0.02
0.00,	5.00,	2.50,	0.0562,	0.0032,	5.48,	0.02,	4.89,	0.02
0.00,	5.00,	5.00,	0.1094,	0.0032,	5.71,	0.02,	4.63,	0.02
0.00,	5.00,	7.50,	0.1742,	0.0032,	6.01,	0.02,	4.31,	0.02
0.00,	5.00,	10.00,	0.2167,	0.0031,	6.15,	0.02,	4.04,	0.02
0.00,	5.00,	15.00,	0.3014,	0.0031,	6.43,	0.02,	3.54,	0.02
0.00,	5.00,	20.00,	0.3698,	0.0030,	6.65,	0.02,	3.14,	0.02
0.00,	5.00,	25.00,	0.4261,	0.0029,	6.81,	0.02,	2.79,	0.02
0.00,	5.00,	30.00,	0.4715,	0.0028,	6.93,	0.02,	2.52,	0.01
0.00,	5.00,	35.00,	0.5073,	0.0028,	6.96,	0.02,	2.29,	0.01
0.00,	5.00,	40.00,	0.5451,	0.0026,	7.09,	0.02,	2.09,	0.01
0.00,	5.00,	60.00,	0.6745,	0.0023,	7.76,	0.02,	1.50,	0.01
0.00,	5.00,	80.00,	0.6990,	0.0029,	6.14,	0.03,	1.05,	0.01
0.00,	10.00,	-80.00,	-0.7900,	0.0017,	1.94,	0.01,	18.04,	0.06
0.00,	10.00,	-60.00,	-0.7540,	0.0015,	2.50,	0.02,	18.84,	0.05
0.00,	10.00,	-40.00,	-0.6893,	0.0019,	2.61,	0.02,	14.35,	0.04
0.00,	10.00,	-35.00,	-0.6724,	0.0020,	2.70,	0.02,	13.65,	0.04
0.00,	10.00,	-30.00,	-0.6439,	0.0021,	2.90,	0.02,	13.11,	0.03
0.00,	10.00,	-25.00,	-0.6119,	0.0023,	3.17,	0.02,	12.68,	0.03
0.00,	10.00,	-20.00,	-0.5528,	0.0024,	3.70,	0.02,	12.34,	0.03
0.00,	10.00,	-15.00,	-0.4741,	0.0026,	4.38,	0.02,	11.73,	0.03
0.00,	10.00,	-10.00,	-0.3532,	0.0028,	5.46,	0.03,	10.97,	0.03
0.00,	10.00,	-7.50,	-0.2715,	0.0029,	6.17,	0.03,	10.41,	0.03
0.00,	10.00,	-5.00,	-0.1834,	0.0030,	6.98,	0.03,	9.89,	0.03
0.00,	10.00,	-2.50,	-0.0955,	0.0030,	7.77,	0.03,	9.28,	0.03
0.00,	10.00,	0.00,	-0.0026,	0.0030,	8.54,	0.03,	8.58,	0.03
0.00,	10.00,	2.50,	0.0946,	0.0030,	9.26,	0.03,	7.78,	0.03
0.00,	10.00,	5.00,	0.1928,	0.0030,	9.98,	0.03,	6.89,	0.03
0.00,	10.00,	7.50,	0.2751,	0.0029,	10.45,	0.03,	6.14,	0.03
0.00,	10.00,	10.00,	0.3528,	0.0028,	11.01,	0.03,	5.45,	0.03
0.00,	10.00,	15.00,	0.4740,	0.0027,	11.75,	0.03,	4.38,	0.03
0.00,	10.00,	20.00,	0.5538,	0.0024,	12.33,	0.03,	3.68,	0.02
0.00,	10.00,	25.00,	0.6092,	0.0023,	12.72,	0.03,	3.20,	0.02
0.00,	10.00,	30.00,	0.6423,	0.0022,	13.07,	0.03,	2.90,	0.02
0.00,	10.00,	35.00,	0.6698,	0.0020,	13.58,	0.04,	2.71,	0.02
0.00,	10.00,	40.00,	0.6922,	0.0019,	14.35,	0.04,	2.59,	0.02
0.00,	10.00,	60.00,	0.7533,	0.0015,	18.73,	0.04,	2.50,	0.02
0.00,	10.00,	80.00,	0.7922,	0.0017,	18.14,	0.06,	1.93,	0.01
0.00,	50.00,	-80.00,	-0.9026,	0.0004,	6.10,	0.03,	116.88,	0.29
0.00,	50.00,	-60.00,	-0.8943,	0.0007,	1.50,	0.01,	26.72,	0.10
0.00,	50.00,	-40.00,	-0.8556,	0.0011,	0.92,	0.01,	10.59,	0.03
0.00,	50.00,	-35.00,	-0.8636,	0.0011,	0.81,	0.01,	9.74,	0.03
0.00,	50.00,	-30.00,	-0.8640,	0.0012,	0.82,	0.01,	9.80,	0.03
0.00,	50.00,	-25.00,	-0.8887,	0.0010,	0.77,	0.01,	11.52,	0.03
0.00,	50.00,	-20.00,	-0.9043,	0.0009,	0.76,	0.01,	13.00,	0.03
0.00,	50.00,	-15.00,	-0.8918,	0.0010,	0.93,	0.01,	13.83,	0.03
0.00,	50.00,	-10.00,	-0.7904,	0.0014,	1.76,	0.01,	13.26,	0.02
0.00,	50.00,	-7.50,	-0.6522,	0.0018,	3.02,	0.02,	12.72,	0.03
0.00,	50.00,	-5.00,	-0.4047,	0.0020,	5.60,	0.02,	12.15,	0.02
0.00,	50.00,	-2.50,	-0.1698,	0.0018,	8.49,	0.03,	11.51,	0.02
0.00,	50.00,	0.00,	0.0008,	0.0017,	10.48,	0.02,	10.45,	0.02
0.00,	50.00,	2.50,	0.1688,	0.0018,	11.50,	0.02,	8.50,	0.02
0.00,	50.00,	5.00,	0.4045,	0.0020,	12.17,	0.02,	5.62,	0.02
0.00,	50.00,	7.50,	0.6470,	0.0018,	12.67,	0.02,	3.07,	0.02
0.00,	50.00,	10.00,	0.7900,	0.0014,	13.26,	0.02,	1.78,	0.02
0.00,	50.00,	15.00,	0.8912,	0.0010,	13.81,	0.02,	0.92,	0.01
0.00,	50.00,	20.00,	0.9032,	0.0010,	13.02,	0.02,	0.78,	0.01
0.00,	50.00,	25.00,	0.8884,	0.0010,	11.53,	0.03,	0.80,	0.01
0.00,	50.00,	30.00,	0.8658,	0.0011,	9.73,	0.03,	0.81,	0.01
0.00,	50.00,	35.00,	0.8645,	0.0011,	9.70,	0.03,	0.82,	0.01
0.00,	50.00,	40.00,	0.8550,	0.0011,	10.61,	0.03,	0.93,	0.01
0.00,	50.00,	60.00,	0.8948,	0.0007,	26.83,	0.10,	1.51,	0.01
0.00,	50.00,	80.00,	0.9022,	0.0004,	116.83,	0.29,	6.11,	0.03
0.00,	100.00,	-80.00,	-0.9069,	0.0003,	8.97,	0.04,	174.16,	0.53
0.00,	100.00,	-60.00,	-0.8936,	0.0007,	1.35,	0.01,	23.31,	0.06
0.00,	100.00,	-40.00,	-0.8588,	0.0011,	0.88,	0.01,	10.57,	0.03
0.00,	100.00,	-35.00,	-0.8646,	0.0011,	0.77,	0.01,	9.40,	0.03
0.00,	100.00,	-30.00,	-0.8623,	0.0011,	0.80,	0.01,	9.50,	0.02
0.00,	100.00,	-25.00,	-0.8930,	0.0010,	0.74,	0.01,	11.50,	0.02
0.00,	100.00,	-20.00,	-0.9132,	0.0009,	0.70,	0.01,	13.14,	0.03
0.00,	100.00,	-15.00,	-0.9166,	0.0009,	0.73,	0.01,	14.20,	0.03
0.00,	100.00,	-10.00,	-0.8580,	0.0011,	1.17,	0.01,	13.40,	0.02
0.00,	100.00,	-7.50,	-0.7417,	0.0014,	2.09,	0.01,	12.73,	0.02
0.00,	100.00,	-5.00,	-0.4132,	0.0017,	5.41,	0.02,	12.20,	0.02
0.00,	100.00,	-2.50,	-0.1370,	0.0015,	9.24,	0.02,	11.99,	0.02
0.00,	100.00,	0.00,	-0.0026,	0.0014,	11.13,	0.02,	11.19,	0.02
0.00,	100.00,	2.50,	0.1332,	0.0015,	11.92,	0.02,	9.25,	0.02
0.00,	100.00,	5.00,	0.4185,	0.0017,	12.26,	0.02,	5.35,	0.02
0.00,	100.00,	7.50,	0.7420,	0.0014,	12.73,	0.02,	2.10,	0.01
0.00,	100.00,	10.00,	0.8572,	0.0011,	13.44,	0.02,	1.17,	0.01
0.00,	100.00,	15.00,	0.9161,	0.0009,	14.18,	0.03,	0.74,	0.01
0.00,	100.00,	20.00,	0.9138,	0.0009,	13.12,	0.02,	0.69,	0.01
0.00,	100.00,	25.00,	0.8934,	0.0010,	11.49,	0.02,	0.74,	0.01
0.00,	100.00,	30.00,	0.8605,	0.0011,	9.54,	0.02,	0.81,	0.01
0.00,	100.00,	35.00,	0.8635,	0.0011,	9.40,	0.02,	0.79,	0.01
0.00,	100.00,	40.00,	0.8592,	0.0010,	10.55,	0.03,	0.87,	0.01
0.00,	100.00,	60.00,	0.8946,	0.0007,	23.34,	0.06,	1.34,	0.01
0.00,	100.00,	80.00,	0.9074,	0.0004,	173.73,	0.72,	8.88,	0.06
2.00,	5.00,	-80.00,	-0.6968,	0.0029,	1.06,	0.01,	6.08,	0.03
2.00,	5.00,	-60.00,	-0.6670,	0.0023,	1.50,	0.01,	7.63,	0.02
2.00,	5.00,	-40.00,	-0.5371,	0.0027,	2.11,	0.01,	7.00,	0.02
2.00,	5.00,	-35.00,	-0.4983,	0.0028,	2.34,	0.01,	6.88,	0.02
2.00,	5.00,	-30.00,	-0.4568,	0.0029,	2.57,	0.02,	6.79,	0.02
2.00,	5.00,	-25.00,	-0.4134,	0.0029,	2.85,	0.02,	6.72,	0.02
2.00,	5.00,	-20.00,	-0.3620,	0.0030,	3.15,	0.02,	6.56,	0.02
2.00,	5.00,	-15.00,	-0.2914,	0.0031,	3.58,	0.02,	6.37,	0.02
2.00,	5.00,	-10.00,	-0.2081,	0.0032,	4.09,	0.02,	6.06,	0.02
2.00,	5.00,	-7.50,	-0.1551,	0.0032,	4.36,	0.02,	5.85,	0.02
2.00,	5.00,	-5.00,	-0.0981,	0.0032,	4.67,	0.02,	5.60,	0.02
2.00,	5.00,	-2.50,	-0.0416,	0.0033,	4.96,	0.02,	5.36,	0.02
2.00,	5.00,	0.00,	0.0081,	0.0033,	5.22,	0.02,	5.12,	0.02
2.00,	5.00,	2.50,	0.0662,	0.0032,	5.53,	0.02,	4.83,	0.02
2.00,	5.00,	5.00,	0.1193,	0.0032,	5.76,	0.02,	4.57,	0.02
2.00,	5.00,	7.50,	0.1779,	0.0032,	6.02,	0.02,	4.26,	0.02
2.00,	5.00,	10.00,	0.2222,	0.0031,	6.19,	0.02,	4.00,	0.02
2.00,	5.00,	15.00,	0.3051,	0.0031,	6.48,	0.02,	3.50,	0.02
2.00,	5.00,	20.00,	0.3837,	0.0030,	6.76,	0.02,	3.08,	0.02
2.00,	5.00,	25.00,	0.4332,	0.0029,	6.88,	0.02,	2.76,	0.02
2.00,	5.00,	30.00,	0.4768,	0.0028,	6.98,	0.02,	2.49,	0.01
2.00,	5.00,	35.00,	0.5197,	0.0027,	7.10,	0.02,	2.23,	0.01
2.00,	5.00,	40.00,	0.5541,	0.0026,	7.24,	0.02,	2.07,	0.01
2.00,	5.00,	60.00,	0.6788,	0.0023,	7.83,	0.02,	1.47,	0.01
2.00,	5.00,	80.00,	0.6975,	0.0030,	6.23,	0.03,	1.04,	0.01
2.00,	10.00,	-80.00,	-0.7907,	0.0017,	1.93,	0.01,	17.79,	0.06
2.00,	10.00,	-60.00,	-0.7532,	0.0015,	2.49,	0.02,	18.58,	0.04
2.00,	10.00,	-40.00,	-0.6856,	0.0019,	2.62,	0.02,	14.12,	0.04
2.00,	10.00,	-35.00,	-0.6619,	0.0020,	2.77,	0.02,	13.37,	0.04
2.00,	10.00,	-30.00,	-0.6410,	0.0021,	2.90,	0.02,	12.91,	0.03
2.00,	10.00,	-25.00,	-0.6089,	0.0023,	3.18,	0.02,	12.59,	0.03
2.00,	10.00,	-20.00,	-0.5532,	0.0024,	3.68,	0.02,	12.23,	0.03
2.00,	10.00,	-15.00,	-0.4633,	0.0027,	4.46,	0.03,	11.60,	0.03
2.00,	10.00,	-10.00,	-0.3465,	0.0029,	5.52,	0.03,	10.87,	0.03
2.00,	10.00,	-7.50,	-0.2674,	0.0029,	6.22,	0.03,	10.35,	0.03
2.00,	10.00,	-5.00,	-0.1781,	0.0030,	7.03,	0.03,	9.75,	0.03
2.00,	10.00,	-2.50,	-0.0803,	0.0030,	7.90,	0.03,	9.09,	0.03
2.00,	10.00,	0.00,	0.0135,	0.0030,	8.68,	0.03,	8.39,	0.03
2.00,	10.00,	2.50,	0.1066,	0.0030,	9.35,	0.03,	7.60,	0.03
2.00,	10.00,	5.00,	0.1973,	0.0030,	10.04,	0.03,	6.85,	0.03
2.00,	10.00,	7.50,	0.2825,	0.0029,	10.61,	0.03,	6.07,	0.03
2.00,	10.00,	10.00,	0.3628,	0.0028,	11.12,	0.03,	5.36,	0.03
2.00,	10.00,	15.00,	0.4814,	0.0026,	11.93,	0.03,	4.32,	0.02
2.00,	10.00,	20.00,	0.5634,	0.0024,	12.48,	0.03,	3.62,	0.02
2.00,	10.00,	25.00,	0.6144,	0.0022,	12.85,	0.03,	3.15,	0.02
2.00,	10.00,	30.00,	0.6473,	0.0021,	13.24,	0.03,	2.90,	0.02
2.00,	10.00,	35.00,	0.6738,	0.0020,	13.77,	0.04,	2.68,	0.02
2.00,	10.00,	40.00,	0.6942,	0.0019,	14.54,	0.04,	2.58,	0.02
2.00,	10.00,	60.00,	0.7595,	0.0015,	19.06,	0.05,	2.46,	0.02
2.00,	10.00,	80.00,	0.7932,	0.0017,	18.36,	0.06,	1.95,	0.01
2.00,	50.00,	-80.00,	-0.9000,	0.0004,	6.19,	0.03,	115.34,	0.29
2.00,	50.00,	-60.00,	-0.8941,	0.0007,	1.50,	0.01,	26.36,	0.10
2.00,	50.00,	-40.00,	-0.8544,	0.0011,	0.90,	0.01,	10.42,	0.03
2.00,	50.00,	-35.00,	-0.8619,	0.0011,	0.82,	0.01,	9.60,	0.03
2.00,	50.00,	-30.00,	-0.8644,	0.0012,	0.80,	0.01,	9.63,	0.02
2.00,	50.00,	-25.00,	-0.8837,	0.0010,	0.81,	0.01,	11.40,	0.03
2.00,	50.00,	-20.00,	-0.9025,	0.0010,	0.77,	0.01,	12.86,	0.03
2.00,	50.00,	-15.00,	-0.8924,	0.0010,	0.90,	0.01,	13.63,	0.03
